anime_id,Name,English name,Score,Genres,Type,Episodes,Aired,Premiered,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Image URL
27,Trinity Blood,Trinity Blood,7.29,"Action, Supernatural",TV,24,"Apr 29, 2005 to Oct 28, 2005",spring 2005,Finished Airing,UNKNOWN,Funimation,Gonzo,Light novel,24 min per ep,R - 17+ (violence & profanity),2591,1233,1298,79130,179583,https://cdn.myanimelist.net/images/anime/10/24649.jpg
28,Yakitate!! Japan,Yakitate!! Japan,7.91,"Comedy, Gourmet",TV,69,"Oct 12, 2004 to Mar 14, 2006",fall 2004,Finished Airing,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Nozomi Entertainment,Sunrise,Manga,24 min per ep,PG-13 - Teens 13 or older,704,1992,897,40492,95380,https://cdn.myanimelist.net/images/anime/3/76432.jpg
29,Zipang,UNKNOWN,7.48,"Action, Drama, Sci-Fi",TV,26,"Oct 8, 2004 to Apr 1, 2005",fall 2004,Finished Airing,"Marvelous, TBS",Geneon Entertainment USA,Studio Deen,Manga,24 min per ep,PG-13 - Teens 13 or older,1778,4430,180,7273,21391,https://cdn.myanimelist.net/images/anime/13/75740.jpg
30,Neon Genesis Evangelion,Neon Genesis Evangelion,8.35,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",TV,26,"Oct 4, 1995 to Mar 27, 1996",fall 1995,Finished Airing,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","ADV Films, GKIDS","Gainax, Tatsunoko Production",Original,24 min per ep,PG-13 - Teens 13 or older,204,45,100638,1024927,1718019,https://cdn.myanimelist.net/images/anime/1314/108941.jpg
31,Neon Genesis Evangelion: Death & Rebirth,Neon Genesis Evangelion: Death & Rebirth,7.46,"Drama, Sci-Fi",Movie,1,"Mar 15, 1997",UNKNOWN,Finished Airing,"Movic, Sega, TV Tokyo Music, Audio Tanaka","GKIDS, Manga Entertainment","Gainax, Production I.G",Original,1 hr 44 min,R - 17+ (violence & profanity),1855,889,687,140233,251617,https://cdn.myanimelist.net/images/anime/1993/113122.jpg
32,Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion: The End of Evangelion,8.55,"Avant Garde, Drama, Sci-Fi",Movie,1,"Jul 19, 1997",UNKNOWN,Finished Airing,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","GKIDS, Manga Entertainment","Gainax, Production I.G",Original,1 hr 26 min,R+ - Mild Nudity,98,177,27272,586441,879361,https://cdn.myanimelist.net/images/anime/1404/98182.jpg
33,Kenpuu Denki Berserk,Berserk,8.56,"Action, Adventure, Drama, Fantasy, Horror",TV,25,"Oct 8, 1997 to Apr 1, 1998",fall 1997,Finished Airing,"VAP, Hakusensha, Nippon Television Network","Media Blasters, NYAV Post",OLM,Manga,25 min per ep,R+ - Mild Nudity,96,325,25404,325204,608800,https://cdn.myanimelist.net/images/anime/1384/119988.jpg
43,Koukaku Kidoutai,Ghost in the Shell,8.27,"Action, Award Winning, Mystery, Sci-Fi, Suspense",Movie,1,"Nov 18, 1995",UNKNOWN,Finished Airing,"Bandai Visual, Kodansha",Manga Entertainment,Production I.G,Manga,1 hr 22 min,R+ - Mild Nudity,276,329,12339,315593,604276,https://cdn.myanimelist.net/images/anime/10/82594.jpg
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,8.71,"Action, Drama, Romance",OVA,4,"Feb 20, 1999 to Sep 22, 1999",UNKNOWN,Finished Airing,Aniplex,"ADV Films, Aniplex of America",Studio Deen,Manga,29 min per ep,R - 17+ (violence & profanity),48,834,6137,134133,268621,https://cdn.myanimelist.net/images/anime/1391/120839.jpg
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,8.29,"Action, Adventure, Comedy, Romance",TV,94,"Jan 10, 1996 to Sep 8, 1998",winter 1996,Finished Airing,"Aniplex, SME Visual Works, Fuji TV","Media Blasters, Aniplex of America","Gallop, Studio Deen",Manga,25 min per ep,PG-13 - Teens 13 or older,249,432,9907,230278,477389,https://cdn.myanimelist.net/images/anime/1346/119505.jpg
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Samurai X: The Motion Picture,7.55,Drama,Movie,1,"Dec 20, 1997",UNKNOWN,Finished Airing,"Fuji TV, Sony Music Entertainment","ADV Films, Aniplex of America",Gallop,Manga,1 hr 31 min,R - 17+ (violence & profanity),1567,2885,88,26859,50732,https://cdn.myanimelist.net/images/anime/4/47845.jpg
47,Akira,Akira,8.16,"Action, Adventure, Horror, Sci-Fi, Supernatural",Movie,1,"Jul 16, 1988",UNKNOWN,Finished Airing,"Mainichi Broadcasting System, Kodansha, Toho, Streamline Pictures","Funimation, Bandai Entertainment, Geneon Entertainment USA",Tokyo Movie Shinsha,Manga,2 hr 4 min,R+ - Mild Nudity,389,208,12961,485580,804581,https://cdn.myanimelist.net/images/anime/1408/114012.jpg
48,.hack//Sign,.hack//Sign,6.95,"Adventure, Fantasy, Mystery",TV,26,"Apr 4, 2002 to Sep 26, 2002",spring 2002,Finished Airing,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2","Funimation, Bandai Entertainment",Bee Train,Original,24 min per ep,PG-13 - Teens 13 or older,4172,1243,1343,83009,178659,https://cdn.myanimelist.net/images/anime/1443/94665.jpg
49,Aa! Megami-sama!,Oh! My Goddess,7.29,"Comedy, Romance, Supernatural",OVA,5,"Feb 21, 1993 to May 17, 1994",UNKNOWN,Finished Airing,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AnimEigo,AIC,Manga,30 min per ep,PG-13 - Teens 13 or older,2542,2832,246,26400,52627,https://cdn.myanimelist.net/images/anime/11/71215.jpg
50,Aa! Megami-sama! (TV),Ah! My Goddess,7.32,"Comedy, Romance, Supernatural",TV,24,"Jan 7, 2005 to Jul 8, 2005",winter 2005,Finished Airing,"Bandai Visual, TBS, Imagine","Media Blasters, NYAV Post",AIC,Manga,24 min per ep,PG-13 - Teens 13 or older,2407,1392,1115,76377,155745,https://cdn.myanimelist.net/images/anime/1976/99376.jpg
